id;auc_id;auc_change_type;auc_change_date;auc_user_id;auc_department_id;auc_modified_user_id;auc_permissions
1;27264;USER_BLOCK;2020-07-30T17:11:41;French Southern Territories bluetooth;Global Cayman Islands Cambridgeshire;Cove withdrawal;Alabama Silver
2;28526;USER_UNBLOCK;2020-07-31T02:19:13;payment Paradigm;Open-architected;Small Metal Table;Refined Solomon Islands Dollar bleeding-edge
3;41979;PREVILEGES_ADDING;2020-07-30T15:55:42;Iowa Rustic Plastic Bike;Intelligent Frozen Chair New Leu;capacitor;Illinois Salad
4;40975;PRIVILEGES_DELETING;2020-07-30T14:49:32;Luxembourg;Customer azure;Lari;withdrawal Executive Sleek Metal Chair
5;53189;PREVILEGES_ADDING;2020-07-30T22:10:17;Bedfordshire;Associate alarm black;Avon mesh AGP;Avon Buckinghamshire Saint Helena Pound
6;75458;USER_CREATION;2020-07-30T19:46:38;hacking withdrawal Practical Fresh Car;Solutions Kenya Bike;Michigan;algorithm
7;95676;PREVILEGES_ADDING;2020-07-31T01:42:04;Table Harbor Montana;Crescent Netherlands Antilles;index architecture redundant;cross-platform
8;62281;PREVILEGES_ADDING;2020-07-30T17:42:53;Uruguay plug-and-play Money Market Account;granular;Saint Barthelemy back up Planner;Computer generating Track
9;58362;USER_UNBLOCK;2020-07-31T09:34:56;mobile navigating;XML Frozen Libyan Arab Jamahiriya;homogeneous hard drive Cayman Islands Dollar;Developer Buckinghamshire withdrawal
10;71813;PREVILEGES_ADDING;2020-07-31T02:27:22;Creative Cedi;digital Identity protocol;technologies Utah synthesizing;Borders
